Business Name,Address,Phone,Website,Category,Rating,Review Count,Price Level,Hours,Description,Latitude,Longitude,Neighborhood,Local Competition
Corinne Austin,"304 E Cesar Chavez St, Austin, TX 78701, USA",(737) 787-7018,https://www.corinneatx.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,Restaurants,4.8,5059,$$,Monday: 7:00 AM – 11:00 PM; Tuesday: 7:00 AM – 11:00 PM; Wednesday: 7:00 AM – 11:00 PM,Restaurants business in Austin,30.2627011,-97.74157629999999,Austin,Competing restaurants businesses in Austin
Star Seeds Cafe,"5610 N Interstate Hwy 35, Austin, TX 78751, USA",(512) 478-7107,http://www.starscafeaustin.com/,Restaurants,4.0,1689,$,"Monday: 12:00 AM – 3:00 PM, 10:00 PM – 12:00 AM; Tuesday: 12:00 AM – 3:00 PM, 10:00 PM – 12:00 AM; Wednesday: 12:00 AM – 3:00 PM, 10:00 PM – 12:00 AM",Restaurants business in Austin,30.3187228,-97.70918929999999,Austin,Competing restaurants businesses in Austin
Moonshine Grill,"303 Red River St, Austin, TX 78701, USA",(512) 236-9599,http://www.moonshinegrill.com/,Restaurants,4.6,7066,$$,Monday: 11:00 AM – 10:00 PM; Tuesday: 11:00 AM – 10:00 PM; Wednesday: 11:00 AM – 10:00 PM,Restaurants business in Austin,30.2637562,-97.7380259,Austin,Competing restaurants businesses in Austin
ATX Cocina,"110 San Antonio St #170, Austin, TX 78701, USA",(512) 263-2322,http://www.atxcocina.com/,Restaurants,4.6,1769,$$$,Monday: 5:00 – 10:00 PM; Tuesday: 5:00 – 10:00 PM; Wednesday: 5:00 – 10:00 PM,Restaurants business in Austin,30.2649201,-97.7492858,Austin,Competing restaurants businesses in Austin
Caroline,"621 Congress Ave. Suite 101, Austin, TX 78701, USA",(512) 982-6766,http://www.carolinerestaurant.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,Restaurants,4.8,12745,$$,Monday: 7:00 AM – 11:00 PM; Tuesday: 7:00 AM – 11:00 PM; Wednesday: 7:00 AM – 11:00 PM,Restaurants business in Austin,30.2688157,-97.7422982,Austin,Competing restaurants businesses in Austin
Sapori Italian Roots,"800 Brazos St ste 215, Austin, TX 78701, USA",(737) 351-9271,https://saporiatx.com/,Restaurants,4.8,585,$$,Monday: 4:00 – 10:00 PM; Tuesday: 11:00 AM – 10:00 PM; Wednesday: 11:00 AM – 10:00 PM,Restaurants business in Austin,30.2698335,-97.7412877,Austin,Competing restaurants businesses in Austin
Loro Asian Smokehouse & Bar,"2115 S Lamar Blvd, Austin, TX 78704, USA",(512) 916-4858,https://www.loroeats.com/locations/austin/south-lamar/,Restaurants,4.5,5260,$$$,Monday: 11:00 AM – 10:00 PM; Tuesday: 11:00 AM – 10:00 PM; Wednesday: 11:00 AM – 10:00 PM,Restaurants business in Austin,30.2477396,-97.7713502,Austin,Competing restaurants businesses in Austin
Roaring Fork,"10850 Stonelake Blvd, Austin, TX 78759, USA",(512) 342-2700,http://roaringfork.com/,Restaurants,4.5,3540,$$$,Monday: 4:00 – 9:00 PM; Tuesday: 4:00 – 9:00 PM; Wednesday: 4:00 – 9:00 PM,Restaurants business in Austin,30.4008874,-97.73782469999999,Austin,Competing restaurants businesses in Austin
Aba Austin,"1011 S Congress Ave Bldg 2 Suite 180, Austin, TX 78704, USA",(737) 273-0199,https://www.abarestaurants.com/austin/,Restaurants,4.7,5111,$$$,Monday: 11:00 AM – 10:00 PM; Tuesday: 11:00 AM – 10:00 PM; Wednesday: 11:00 AM – 10:00 PM,Restaurants business in Austin,30.25331539999999,-97.74802439999999,Austin,Competing restaurants businesses in Austin
888 Pan Asian Restaurant,"2400 E Oltorf St #1A, Austin, TX 78741, USA",(512) 448-4722,https://www.888panasianrestaurant.com/,Restaurants,4.5,4984,$,Monday: 12:00 – 10:45 PM; Tuesday: 12:00 – 10:45 PM; Wednesday: 12:00 – 10:45 PM,Restaurants business in Austin,30.2296403,-97.7300021,Austin,Competing restaurants businesses in Austin
